,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
the,-0.0022265355,0.0011140936,-0.005292349,0.0017810193,0.0092397705,-0.007753579,0.0041019935,0.0004583815,-0.007924401,-0.0015215502,-0.00617216,0.008876834,-0.0048307437,-0.009246882,0.0034510824,0.0011191012,-0.00819081,0.009556149,-0.0015345559,0.0017319057,-0.0006080045,0.0011044113,0.007596003,-0.002042883,-0.0035559158,0.007831769,0.0073974915,-0.0040992685,0.008224241,-0.004047299,-0.008761013,-0.008977719,-0.005984028,-0.008321157,0.00077872234,0.0023094907,-0.005465857,0.007055635,-0.007198616,0.0024407916,-0.006329832,0.008672596,-0.003981282,0.00733795,0.0047867773,-0.0036116415,0.005510834,0.002769103,0.007468642,-0.009937358
故事線,-0.0071894336,-0.00062601705,0.001114689,-0.0031273044,-0.0052028587,0.0019316325,-0.002806051,0.0047021187,-0.007358736,-0.0038011672,0.006180469,-0.0047299284,-0.005214194,-0.008862036,-0.00027683808,0.0034160984,0.0034704108,-0.0028065015,0.005780361,-0.0005853227,0.009858853,-0.007093857,0.0044220947,-0.009707141,0.0039314693,0.006488389,-0.0013482559,-0.0017351551,-0.0051509663,0.003648949,-0.006654197,0.0047710966,0.008788187,-0.0005661217,-0.008481934,0.0041810675,0.003367641,-0.0026017816,-0.008370436,0.006486887,-0.00995544,0.0070501645,0.007478047,-0.0025400121,-0.0033912777,-0.005151604,-0.008159958,-0.0014795214,0.0032517118,-0.0018613726
了解,-0.0018866453,0.0059950133,0.008975214,0.0024248427,-0.0039469856,-0.0037232894,0.007235285,-0.0108917765,-0.0071950066,0.0021006828,-0.0024721404,-0.0067573055,0.0019574142,-0.0014212253,0.0058465507,0.006924066,-0.0070289997,-0.0010335671,-4.6063993e-05,-0.00037734574,0.0018055122,0.000115211194,0.007008072,-0.007870033,0.0053691827,0.008902865,-0.008702589,-0.0006706212,-0.005071825,-0.0065532764,-0.0073122922,-0.0038778794,0.0011059077,0.012645807,0.002808183,0.009057211,-0.0063974685,-0.0045037954,-0.0046376283,0.0017824253,-0.006385259,0.0075319028,0.011352702,-0.008870861,-0.00047681708,0.0022853473,0.006165368,0.007491239,-0.0005874624,0.0023156442
無法,-0.0071694013,-0.0051129977,0.0075616934,-0.01240264,-0.007251149,0.005416828,-0.00719151,-0.00029734417,-0.00015799513,0.003071953,-0.010770755,0.00882628,-0.00052233855,0.0013893972,-0.004184561,-0.0047363313,-0.009745947,0.0043403865,0.0059940233,0.0016808703,0.009288821,0.003546195,-0.005961541,-0.005007149,-0.010541642,0.0039526694,-0.008287347,0.001746205,0.0079327375,0.0070524793,0.005159526,0.00188371,0.0036497302,0.0076885945,-0.0067407642,0.012955491,-0.0029324798,-0.009333823,-0.00856419,0.008470943,0.0037282475,-0.005778167,0.003314498,-0.0068078106,-0.0126827955,-0.003916785,-0.0069604763,0.008841693,0.0072612455,0.0057439515
體會,-0.009675589,-0.0046522124,0.006817568,0.004750088,0.005443076,0.008228783,0.0026127412,-0.0100992145,-0.0006728713,-0.00011046818,-0.010448102,0.008677311,0.007497813,0.0076395352,-0.0051385793,-0.0030044473,-0.0001662467,0.004909583,0.002558461,0.008376865,0.008825855,0.008336159,-0.0022218616,0.007648355,0.003883292,-0.0008699685,0.008440753,0.0085088285,-0.004636995,0.0076902485,-0.009866096,0.0040569264,-0.0030355928,-0.0008982792,-0.001307209,0.0023583202,0.0022284098,0.0018742629,0.005048895,-0.009679342,0.0060524466,-0.0013934548,0.009708152,0.0033159102,0.006850105,-0.0064983973,0.0069938926,-0.009916808,0.0066629285,0.006100793
情境,-0.001515552,0.00049727916,0.00074478035,0.0054533957,-0.0071231527,-0.008600089,-0.008637541,-0.0071938555,0.005574549,0.00467105,0.0070190784,-0.009404493,0.0019275007,-0.0016608475,-0.0030825809,-0.0013162845,0.0035395015,0.0034396127,-0.005365473,0.0075774454,0.008605568,-0.005967224,0.0012224271,-0.001491392,9.8453034e-05,-0.0031507076,-0.0026043577,-0.009208618,0.003081233,0.008451151,0.0024281663,0.0084271105,-0.00079865445,0.005685522,-0.00063418446,0.0030016878,0.0028107956,0.005339368,0.0012199981,0.0037011656,0.008700442,-0.007540752,0.008342451,-0.004916288,0.0047906004,-8.5777836e-05,0.00913088,-0.003650714,0.008663576,0.0037054038
復仇,-0.0007057336,0.0026243716,-0.008558903,-0.010379378,-0.0026635898,-0.0028974887,-0.004490966,0.008051926,0.0019633826,-0.008493211,-0.00306191,-0.0013975939,0.0046303472,0.0052158576,-0.006044455,-0.0015346647,-0.0054922267,-0.002260628,0.0032063846,0.00028614042,-0.007571262,0.0014075143,-0.0017076106,-0.0073793917,0.0033566568,-0.0012010849,0.007931141,-0.006816508,0.0022938128,0.008840143,-0.011570214,-0.0035805302,-0.0050188364,-0.005637212,0.004341362,-0.00080923416,-0.003807349,0.0072993874,0.00033439614,-0.00036619126,0.009189834,0.0017781153,-0.0025699106,-0.0040058503,0.00052387663,-0.0054200417,-0.0016802045,0.009260053,0.0032306681,-0.0039368556
系列,0.0002584847,-0.01025232,0.00094307354,-0.009327143,-0.005568302,0.012068227,-0.0027801385,0.0015709647,0.0018579244,0.009449876,-0.0008842371,0.004105195,0.013930069,0.0104692625,-0.0024038388,-0.012870905,0.0043460755,0.012811307,-0.005336472,0.00097287394,0.010851404,-0.003880503,-0.002097752,-0.0035086572,-0.0022288125,-0.011120486,-0.001837075,-0.0037558593,0.009572074,-0.010700654,-0.008521657,-0.011610763,-0.008840397,0.0013676102,-0.0009923556,0.010224134,0.00022913243,-0.0063586873,-0.0021678384,-0.002733352,-0.0014853971,0.0072118896,0.0030178588,-0.0026164192,-0.005253871,0.00432359,-0.0043725614,-0.008965642,-0.010207626,0.0042317924
瞭解,0.0038553295,0.0022893965,-0.0068012993,-0.0025831428,-0.00072994275,0.009219428,0.0023811734,-0.0010292296,-0.0065864376,0.006993243,0.009049727,0.0012349518,-0.0032833854,0.0074419896,0.009071621,-8.572821e-05,0.0062616016,-0.0046565193,-0.0030598787,-0.0027711205,0.0071986336,-0.0019542745,0.0077514,-0.008134225,-0.007018951,-0.0052168397,0.008284249,-0.00084696163,-0.0028054144,0.008073628,0.00963258,-0.00044805012,0.0063366243,-0.0028996996,0.0019594163,0.0066055725,0.00905722,-0.002174005,-0.0063186516,4.9331615e-05,0.008911644,0.0050218697,0.0048094895,0.0015591979,-0.007787955,0.009203813,0.0027849104,0.004811888,-0.0016252145,0.0034214724
出戲,0.003835364,-0.005159464,0.010924547,0.003702301,-0.0034680215,-0.00036839687,-0.0053445003,-0.005087703,0.00024186865,-0.004120321,-0.008744162,0.00652812,0.0019648427,-0.0061153583,0.008347417,0.0011912505,0.002629381,-0.00047226378,-0.0050875507,0.0063736085,0.0057529774,-0.01033228,-0.0047799605,-0.009162628,0.000702395,-0.003294918,-0.010406276,-0.010827542,-0.0017704056,-0.0002555398,0.0063029747,-0.006847881,-0.0072295195,-0.0038164435,0.0073626707,0.0058389916,0.0014868508,0.008035723,-0.00848461,-0.00977128,0.005525432,-0.008047138,0.0058242865,0.0033330212,0.006965318,-0.0040148078,0.0039852136,0.004722807,-0.00691643,0.0059063095
